Alex / Ryan / Dave,Format,My Deck,Opponent's Deck,Game 1/2/3,Win / Lose,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7
ryan,modern,naya,gw value,1,win,wooded foothills,sacred foundry,temple garden,windswept heath,lightning bolt,reckless bushwhacker,burning-tree emissary
ryan,modern,naya,burn,1,win,arid mesa,windswept heath,devastating summons,burning-tree emissary,wild nacatl,lightning bolt,kird ape
ryan,modern,naya,burn,3,win,sacred foundry,forest,stomping ground,kird ape,tarmogoyf,atarka's command,atarka's command
Dave,modern,Affinity,B/W Tokens,1,win,Mountain,Springleaf drum,Memnite,Vault Skirge,Vault Skirge,,
Dave,modern,Affinity,B/W Tokens,2,win,Darksteel citadel,Glimmervoid,Mox opal,Vault Skirge,Arcbound ravager,Cranial plating,Master of etherium
ryan,modern,naya,blue turns,1,win,wooded foothills,experiment one,kird ape,wild nacatl,tarmogoyf,atarka's command,reckless bushwhacker
Dave,modern,Affinity,UWR (W/Elesh Norn),1,win,Mox opal,Memnite,Signal pest,Galvanic blast ,Vault Skirge,Master of etherium,
Dave,modern ,Affinity,UWR (W/Elesh Norn),3,win,Blinkmoth nexus,Inkmoth nexus,Vault skirge,Arcbound ravager,Etched champion,Ghirapur aether grid,
ryan,modern,naya,goblins,2,win,,,,,,,
ryan,modern,naya,burn,1,win,sacred foundry,windswept heath,mountain,wild nacatl,atarka's command,goblin guide,burning-tree emissary
ryan,modern,naya,burn,2,win,wooded foothills,wooded foothills,windswept heath,wild nacatl,lightning bolt,experiment one,lightning bolt
Dave,modern,Affinity,RG moon,1,win,Blinkmoth nexus,Glimmervoid,Darksteel citadel,Mox opal,Orniithopter,Master of etherium,
Dave,modern,Affinity,RG moon,2,win,Darksteel citadel,Glimmervoid,Memnite,Signal pest,Arcbound ravager,Cranial plating,Cranial plating
Dave,modern,Affinity,Living end,2,win,Darksteel citadel,Blinkmoth nexus,Ornithopter,Signal pest,Relic of progenitus,Mox opal,Steel overseer
Dave,modern,Affinity,Jund,1,Win,Inkmoth nexus,Inkmoth nexus,Darksteel citadel,Memnite,Springleaf drum,Vault skirge,Steel overseer
Dave,modern,Affinity,Jund,2,Win,Glimmervoid,Ornithopter,Ornithopter,Signal pest,Springleaf drum,Cranial plating,Cranial plating
Dave,modern,Affinity,BR Flamblade adept,1,Win,Glimmervoid,Blinkmoth nexus,Memnite,Memnite,Mox opal,Signal pest,Steel overseer
Dave,modern,Affinity ,RG moon,1,Win,Darksteel citadel,Darksteel citadel,Inkmoth nexus,Signal pest,Vault skirge,Cranial plating,Cranial plating
Dave,modern,Affinity,Esper midrange,1,Win,Inkmoth nexus,Darksteel citadel,Darksteel citadel,Memnite,Memnite,Mox opal,Arcbound ravager
Dave,modern,Affinity,Esper midrange,2,Win,Blinkmoth nexus,Ornithopter,Mox opal,Springleaf drum,Galvanic blast,Arcbound ravager,
